Arduino: Pronto para conectar. Aguardando 'START' do PC...
Arduino: Timeout! Nao recebeu 'START'. Reiniciando...
---------- INICIANDO SENSOR ALCOHOL 3 ---------
ValorADC, TensÃ£o V, ResistÃªncia Sentida, ppm Etanol, TÂºC, Humidade %
11, 0.01, 1744.98, 0.23, 29.23, 87.38
10, 0.01, 1919.95, 0.19, 29.25, 87.44
10, 0.01, 1919.95, 0.19, 29.27, 87.44
10, 0.01, 1919.95, 0.19, 29.30, 87.38
10, 0.01, 1919.95, 0.19, 29.34, 87.32
10, 0.01, 1919.95, 0.19, 29.36, 87.26
10, 0.01, 1919.95, 0.19, 29.37, 87.19
10, 0.01, 1919.95, 0.19, 29.39, 87.17
10, 0.01, 1919.95, 0.19, 29.40, 87.16
10, 0.01, 1919.95, 0.19, 29.43, 87.15
10, 0.01, 1919.95, 0.19, 29.42, 87.08
10, 0.01, 1919.95, 0.19, 29.42, 87.07
10, 0.01, 1919.95, 0.19, 29.45, 87.01
10, 0.01, 1919.95, 0.19, 29.46, 86.97
10, 0.01, 1919.95, 0.19, 29.47, 86.93
10, 0.01, 1919.95, 0.19, 29.48, 86.89
10, 0.01, 1919.95, 0.19, 29.47, 86.89
10, 0.01, 1919.95, 0.19, 29.50, 86.85
10, 0.01, 1919.95, 0.19, 29.50, 86.84
10, 0.01, 1919.95, 0.19, 29.51, 86.84
10, 0.01, 1919.95, 0.19, 29.52, 86.80
10, 0.01, 1919.95, 0.19, 29.53, 86.81
10, 0.01, 1919.95, 0.19, 29.54, 86.79
10, 0.01, 1919.95, 0.19, 29.54, 86.80
10, 0.01, 1919.95, 0.19, 29.54, 86.74
10, 0.01, 1919.95, 0.19, 29.56, 86.76
10, 0.01, 1919.95, 0.19, 29.56, 86.75
10, 0.01, 1919.95, 0.19, 29.57, 86.73
10, 0.01, 1919.95, 0.19, 29.57, 86.72
10, 0.01, 1919.95, 0.19, 29.58, 86.73
10, 0.01, 1919.95, 0.19, 29.59, 86.69
10, 0.01, 1919.95, 0.19, 29.61, 86.69
10, 0.01, 1919.95, 0.19, 29.61, 86.67
10, 0.01, 1919.95, 0.19, 29.62, 86.66
11, 0.01, 1744.98, 0.23, 29.63, 86.61
11, 0.01, 1744.98, 0.23, 29.64, 86.63
11, 0.01, 1744.98, 0.23, 29.65, 86.65
11, 0.01, 1744.98, 0.23, 29.66, 86.62
11, 0.01, 1744.98, 0.23, 29.65, 86.58
11, 0.01, 1744.98, 0.23, 29.66, 86.61
10, 0.01, 1919.95, 0.19, 29.67, 86.56
11, 0.01, 1744.98, 0.23, 29.68, 86.57
11, 0.01, 1744.98, 0.23, 29.67, 86.55
11, 0.01, 1744.98, 0.23, 29.69, 86.56
11, 0.01, 1744.98, 0.23, 29.70, 86.55
11, 0.01, 1744.98, 0.23, 29.70, 86.53
11, 0.01, 1744.98, 0.23, 29.71, 86.55
11, 0.01, 1744.98, 0.23, 29.71, 86.57
11, 0.01, 1744.98, 0.23, 29.71, 86.56
11, 0.01, 1744.98, 0.23, 29.73, 86.53
11, 0.01, 1744.98, 0.23, 29.75, 86.53
11, 0.01, 1744.98, 0.23, 29.75, 86.50
11, 0.01, 1744.98, 0.23, 29.76, 86.52
11, 0.01, 1744.98, 0.23, 29.76, 86.50
11, 0.01, 1744.98, 0.23, 29.77, 86.50
11, 0.01, 1744.98, 0.23, 29.77, 86.49
11, 0.01, 1744.98, 0.23, 29.78, 86.51
11, 0.01, 1744.98, 0.23, 29.79, 86.48
11, 0.01, 1744.98, 0.23, 29.79, 86.48
11, 0.01, 1744.98, 0.23, 29.81, 86.49
11, 0.01, 1744.98, 0.23, 29.81, 86.47
11, 0.01, 1744.98, 0.23, 29.82, 86.44
11, 0.01, 1744.98, 0.23, 29.83, 86.40
11, 0.01, 1744.98, 0.23, 29.84, 86.43
11, 0.01, 1744.98, 0.23, 29.85, 86.48
11, 0.01, 1744.98, 0.23, 29.83, 86.43
11, 0.01, 1744.98, 0.23, 29.85, 86.41
11, 0.01, 1744.98, 0.23, 29.84, 86.45
11, 0.01, 1744.98, 0.23, 29.86, 86.43
11, 0.01, 1744.98, 0.23, 29.87, 86.45
11, 0.01, 1744.98, 0.23, 29.87, 86.40
11, 0.01, 1744.98, 0.23, 29.87, 86.43
11, 0.01, 1744.98, 0.23, 29.88, 86.42
11, 0.01, 1744.98, 0.23, 29.88, 86.41
11, 0.01, 1744.98, 0.23, 29.89, 86.41
11, 0.01, 1744.98, 0.23, 29.89, 86.43
