Arduino: Pronto para conectar. Aguardando 'START' do PC...
Arduino: Timeout! Nao recebeu 'START'. Reiniciando...
---------- INICIANDO SENSOR ALCOHOL 3 ---------
ValorADC, Tensao [V], Resistencia [kOhm], Etanol [ppm], T [ºC], Humidade [%]
12, 0.01, 1599.17, 0.26, 28.16, 81.94
12, 0.01, 1599.17, 0.26, 28.16, 81.96
12, 0.01, 1599.17, 0.26, 28.16, 81.95
12, 0.01, 1599.17, 0.26, 28.18, 81.85
12, 0.01, 1599.17, 0.26, 28.18, 81.84
12, 0.01, 1599.17, 0.26, 28.21, 81.87
12, 0.01, 1599.17, 0.26, 28.23, 81.78
12, 0.01, 1599.17, 0.26, 28.24, 81.73
12, 0.01, 1599.17, 0.26, 28.25, 81.68
12, 0.01, 1599.17, 0.26, 28.26, 81.64
12, 0.01, 1599.17, 0.26, 28.27, 81.64
12, 0.01, 1599.17, 0.26, 28.31, 81.70
12, 0.01, 1599.17, 0.26, 28.31, 81.68
12, 0.01, 1599.17, 0.26, 28.33, 81.66
12, 0.01, 1599.17, 0.26, 28.31, 81.66
12, 0.01, 1599.17, 0.26, 28.32, 81.64
12, 0.01, 1599.17, 0.26, 28.33, 81.66
12, 0.01, 1599.17, 0.26, 28.33, 81.78
12, 0.01, 1599.17, 0.26, 28.35, 81.70
12, 0.01, 1599.17, 0.26, 28.36, 81.67
12, 0.01, 1599.17, 0.26, 28.36, 81.70
12, 0.01, 1599.17, 0.26, 28.36, 81.71
12, 0.01, 1599.17, 0.26, 28.37, 81.70
12, 0.01, 1599.17, 0.26, 28.40, 81.65
12, 0.01, 1599.17, 0.26, 28.40, 81.62
12, 0.01, 1599.17, 0.26, 28.43, 81.55
12, 0.01, 1599.17, 0.26, 28.43, 81.52
12, 0.01, 1599.17, 0.26, 28.45, 81.50
12, 0.01, 1599.17, 0.26, 28.44, 81.50
12, 0.01, 1599.17, 0.26, 28.47, 81.46
12, 0.01, 1599.17, 0.26, 28.48, 81.46
12, 0.01, 1599.17, 0.26, 28.48, 81.47
12, 0.01, 1599.17, 0.26, 28.47, 81.44
12, 0.01, 1599.17, 0.26, 28.46, 81.45
13, 0.02, 1475.80, 0.29, 28.48, 81.49
12, 0.01, 1599.17, 0.26, 28.47, 81.49
13, 0.02, 1475.80, 0.29, 28.49, 81.50
12, 0.01, 1599.17, 0.26, 28.50, 81.49
12, 0.01, 1599.17, 0.26, 28.52, 81.43
12, 0.01, 1599.17, 0.26, 28.53, 81.35
12, 0.01, 1599.17, 0.26, 28.55, 81.37
12, 0.01, 1599.17, 0.26, 28.54, 81.32
12, 0.01, 1599.17, 0.26, 28.56, 81.31
12, 0.01, 1599.17, 0.26, 28.57, 81.32
12, 0.01, 1599.17, 0.26, 28.56, 81.23
12, 0.01, 1599.17, 0.26, 28.53, 81.30
12, 0.01, 1599.17, 0.26, 28.56, 81.26
12, 0.01, 1599.17, 0.26, 28.57, 81.28
12, 0.01, 1599.17, 0.26, 28.57, 81.20
12, 0.01, 1599.17, 0.26, 28.58, 81.22
12, 0.01, 1599.17, 0.26, 28.60, 81.21
13, 0.02, 1475.80, 0.29, 28.60, 81.26
13, 0.02, 1475.80, 0.29, 28.60, 81.28
12, 0.01, 1599.17, 0.26, 28.61, 81.30
12, 0.01, 1599.17, 0.26, 28.62, 81.26
13, 0.02, 1475.80, 0.29, 28.62, 81.14
13, 0.02, 1475.80, 0.29, 28.63, 81.11
12, 0.01, 1599.17, 0.26, 28.63, 81.03
12, 0.01, 1599.17, 0.26, 28.64, 80.87
12, 0.01, 1599.17, 0.26, 28.63, 80.73
12, 0.01, 1599.17, 0.26, 28.62, 80.51
12, 0.01, 1599.17, 0.26, 28.61, 80.37
12, 0.01, 1599.17, 0.26, 28.60, 80.20
12, 0.01, 1599.17, 0.26, 28.58, 80.08
12, 0.01, 1599.17, 0.26, 28.58, 80.02
12, 0.01, 1599.17, 0.26, 28.59, 79.95
12, 0.01, 1599.17, 0.26, 28.59, 79.89
12, 0.01, 1599.17, 0.26, 28.59, 79.89
12, 0.01, 1599.17, 0.26, 28.58, 79.88
12, 0.01, 1599.17, 0.26, 28.58, 79.89
12, 0.01, 1599.17, 0.26, 28.59, 79.86
12, 0.01, 1599.17, 0.26, 28.60, 79.88
12, 0.01, 1599.17, 0.26, 28.61, 79.83
12, 0.01, 1599.17, 0.26, 28.60, 79.81
12, 0.01, 1599.17, 0.26, 28.59, 79.77
12, 0.01, 1599.17, 0.26, 28.58, 79.76
12, 0.01, 1599.17, 0.26, 28.61, 79.74
12, 0.01, 1599.17, 0.26, 28.60, 79.77
12, 0.01, 1599.17, 0.26, 28.63, 79.78
12, 0.01, 1599.17, 0.26, 28.60, 79.82
12, 0.01, 1599.17, 0.26, 28.61, 79.84
12, 0.01, 1599.17, 0.26, 28.61, 79.89
12, 0.01, 1599.17, 0.26, 28.61, 79.90
12, 0.01, 1599.17, 0.26, 28.63, 79.88
12, 0.01, 1599.17, 0.26, 28.62, 79.84
12, 0.01, 1599.17, 0.26, 28.62, 79.89
12, 0.01, 1599.17, 0.26, 28.62, 79.88
12, 0.01, 1599.17, 0.26, 28.64, 79.86
12, 0.01, 1599.17, 0.26, 28.64, 79.82
12, 0.01, 1599.17, 0.26, 28.64, 79.81
12, 0.01, 1599.17, 0.26, 28.64, 79.81
12, 0.01, 1599.17, 0.26, 28.65, 79.79
12, 0.01, 1599.17, 0.26, 28.64, 79.82
12, 0.01, 1599.17, 0.26, 28.64, 79.80
12, 0.01, 1599.17, 0.26, 28.64, 79.75
12, 0.01, 1599.17, 0.26, 28.65, 79.78
12, 0.01, 1599.17, 0.26, 28.66, 79.73
12, 0.01, 1599.17, 0.26, 28.67, 79.70
